date,papi-internal|gcp|production|es-client-stats-events-v2_fingerprinting
2021-07-03 12:08:00,153
2021-07-03 12:09:00,112
2021-07-03 12:10:00,159
2021-07-03 12:11:00,151
2021-07-03 12:12:00,131
2021-07-03 12:13:00,178
2021-07-03 12:14:00,124
2021-07-03 12:15:00,210
2021-07-03 12:16:00,156
2021-07-03 12:17:00,155
2021-07-03 12:18:00,234
2021-07-03 12:19:00,180
2021-07-03 12:20:00,173
2021-07-03 12:21:00,214
2021-07-03 12:22:00,162
2021-07-03 12:23:00,174
2021-07-03 12:24:00,145
2021-07-03 12:25:00,195
2021-07-03 12:26:00,186
2021-07-03 12:27:00,188
2021-07-03 12:28:00,176
2021-07-03 12:29:00,179
2021-07-03 12:30:00,184
2021-07-03 12:31:00,186
2021-07-03 12:32:00,207
2021-07-03 12:33:00,144
2021-07-03 12:34:00,234
2021-07-03 12:35:00,217
2021-07-03 12:36:00,164
2021-07-03 12:37:00,224
2021-07-03 12:38:00,202
2021-07-03 12:39:00,188
2021-07-03 12:40:00,165
2021-07-03 12:41:00,236
2021-07-03 12:42:00,217
2021-07-03 12:43:00,224
2021-07-03 12:44:00,236
2021-07-03 12:45:00,232
2021-07-03 12:46:00,220
2021-07-03 12:47:00,211
2021-07-03 12:48:00,247
2021-07-03 12:49:00,199
2021-07-03 12:50:00,222
2021-07-03 12:51:00,198
2021-07-03 12:52:00,197
2021-07-03 12:53:00,211
2021-07-03 12:54:00,234
2021-07-03 12:55:00,289
2021-07-03 12:56:00,222
2021-07-03 12:57:00,261
2021-07-03 12:58:00,228
2021-07-03 12:59:00,233
2021-07-03 13:00:00,247
2021-07-03 13:01:00,246
2021-07-03 13:02:00,283
2021-07-03 13:03:00,270
2021-07-03 13:04:00,290
2021-07-03 13:05:00,332
2021-07-03 13:06:00,307
2021-07-03 13:07:00,333
2021-07-03 13:08:00,316
2021-07-03 13:09:00,284
2021-07-03 13:10:00,285
2021-07-03 13:11:00,257
2021-07-03 13:12:00,286
2021-07-03 13:13:00,255
2021-07-03 13:14:00,296
2021-07-03 13:15:00,274
2021-07-03 13:16:00,289
2021-07-03 13:17:00,370
2021-07-03 13:18:00,334
2021-07-03 13:19:00,264
2021-07-03 13:20:00,389
2021-07-03 13:21:00,270
2021-07-03 13:22:00,325
2021-07-03 13:23:00,398
2021-07-03 13:24:00,380
2021-07-03 13:25:00,396
2021-07-03 13:26:00,364
2021-07-03 13:27:00,314
2021-07-03 13:28:00,292
2021-07-03 13:29:00,339
2021-07-03 13:30:00,326
2021-07-03 13:31:00,365
2021-07-03 13:32:00,289
2021-07-03 13:33:00,333
2021-07-03 13:34:00,354
2021-07-03 13:35:00,296
2021-07-03 13:36:00,443
2021-07-03 13:37:00,416
2021-07-03 13:38:00,267
2021-07-03 13:39:00,404
2021-07-03 13:40:00,311
2021-07-03 13:41:00,423
2021-07-03 13:42:00,431
2021-07-03 13:43:00,452
2021-07-03 13:44:00,473
2021-07-03 13:45:00,335
2021-07-03 13:46:00,369
2021-07-03 13:47:00,429
2021-07-03 13:48:00,381
2021-07-03 13:49:00,360
2021-07-03 13:50:00,429
2021-07-03 13:51:00,399
2021-07-03 13:52:00,437
2021-07-03 13:53:00,444
2021-07-03 13:54:00,361
2021-07-03 13:55:00,446
2021-07-03 13:56:00,351
2021-07-03 13:57:00,461
2021-07-03 13:58:00,430
2021-07-03 13:59:00,398
2021-07-03 14:00:00,525
2021-07-03 14:01:00,533
2021-07-03 14:02:00,351
2021-07-03 14:03:00,516
2021-07-03 14:04:00,448
2021-07-03 14:05:00,408
2021-07-03 14:06:00,535
2021-07-03 14:07:00,496
2021-07-03 14:08:00,416
2021-07-03 14:09:00,572
2021-07-03 14:10:00,479
2021-07-03 14:11:00,417
2021-07-03 14:12:00,579
2021-07-03 14:13:00,509
2021-07-03 14:14:00,534
2021-07-03 14:15:00,551
2021-07-03 14:16:00,491
2021-07-03 14:17:00,475
2021-07-03 14:18:00,520
2021-07-03 14:19:00,495
2021-07-03 14:20:00,495
2021-07-03 14:21:00,552
2021-07-03 14:22:00,458
2021-07-03 14:23:00,581
2021-07-03 14:24:00,521
2021-07-03 14:25:00,547
2021-07-03 14:26:00,532
2021-07-03 14:27:00,524
2021-07-03 14:28:00,580
2021-07-03 14:29:00,538
2021-07-03 14:30:00,553
2021-07-03 14:31:00,557
2021-07-03 14:32:00,570
2021-07-03 14:33:00,643
2021-07-03 14:34:00,571
2021-07-03 14:35:00,504
2021-07-03 14:36:00,756
2021-07-03 14:37:00,571
2021-07-03 14:38:00,623
2021-07-03 14:39:00,671
2021-07-03 14:40:00,592
2021-07-03 14:41:00,736
2021-07-03 14:42:00,592
2021-07-03 14:43:00,547
2021-07-03 14:44:00,660
2021-07-03 14:45:00,631
2021-07-03 14:46:00,657
2021-07-03 14:47:00,558
2021-07-03 14:48:00,661
2021-07-03 14:49:00,636
2021-07-03 14:50:00,548
2021-07-03 14:51:00,637
2021-07-03 14:52:00,519
2021-07-03 14:53:00,706
2021-07-03 14:54:00,653
2021-07-03 14:55:00,555
2021-07-03 14:56:00,727
2021-07-03 14:57:00,598
2021-07-03 14:58:00,755
2021-07-03 14:59:00,692
2021-07-03 15:00:00,666
2021-07-03 15:01:00,748
2021-07-03 15:02:00,584
2021-07-03 15:03:00,721
2021-07-03 15:04:00,792
2021-07-03 15:05:00,584
2021-07-03 15:06:00,765
2021-07-03 15:07:00,741
2021-07-03 15:08:00,607
2021-07-03 15:09:00,786
2021-07-03 15:10:00,693
2021-07-03 15:11:00,689
2021-07-03 15:12:00,884
2021-07-03 15:13:00,731
2021-07-03 15:14:00,867
2021-07-03 15:15:00,726
2021-07-03 15:16:00,644
2021-07-03 15:17:00,698
2021-07-03 15:18:00,827
2021-07-03 15:19:00,679
2021-07-03 15:20:00,683
2021-07-03 15:21:00,776
2021-07-03 15:22:00,667
2021-07-03 15:23:00,849
2021-07-03 15:24:00,784
2021-07-03 15:25:00,797
2021-07-03 15:26:00,933
2021-07-03 15:27:00,698
2021-07-03 15:28:00,886
2021-07-03 15:29:00,839
2021-07-03 15:30:00,890
2021-07-03 15:31:00,677
2021-07-03 15:32:00,776
2021-07-03 15:33:00,901
2021-07-03 15:34:00,711
2021-07-03 15:35:00,800
2021-07-03 15:36:00,712
2021-07-03 15:37:00,831
2021-07-03 15:38:00,949
2021-07-03 15:39:00,746
2021-07-03 15:40:00,810
2021-07-03 15:41:00,956
2021-07-03 15:42:00,713
2021-07-03 15:43:00,783
2021-07-03 15:44:00,855
2021-07-03 15:45:00,920
2021-07-03 15:46:00,748
2021-07-03 15:47:00,866
2021-07-03 15:48:00,864
2021-07-03 15:49:00,968
2021-07-03 15:50:00,837
2021-07-03 15:51:00,631
2021-07-03 15:52:00,923
2021-07-03 15:53:00,773
2021-07-03 15:54:00,746
2021-07-03 15:55:00,928
2021-07-03 15:56:00,791
2021-07-03 15:57:00,942
2021-07-03 15:58:00,933
2021-07-03 15:59:00,789
2021-07-03 16:00:00,887
2021-07-03 16:01:00,931
2021-07-03 16:02:00,928
2021-07-03 16:03:00,991
2021-07-03 16:04:00,927
2021-07-03 16:05:00,891
2021-07-03 16:06:00,992
2021-07-03 16:07:00,924
2021-07-03 16:08:00,858
2021-07-03 16:09:00,911
2021-07-03 16:10:00,1016
2021-07-03 16:11:00,955
2021-07-03 16:12:00,903
2021-07-03 16:13:00,1037
2021-07-03 16:14:00,954
2021-07-03 16:15:00,996
2021-07-03 16:16:00,980
2021-07-03 16:17:00,1124
2021-07-03 16:18:00,896
2021-07-03 16:19:00,954
2021-07-03 16:20:00,896
2021-07-03 16:21:00,829
2021-07-03 16:22:00,1103
2021-07-03 16:23:00,1028
2021-07-03 16:24:00,885
2021-07-03 16:25:00,1055
2021-07-03 16:26:00,1026
2021-07-03 16:27:00,915
2021-07-03 16:28:00,1065
2021-07-03 16:29:00,926
2021-07-03 16:30:00,1042
2021-07-03 16:31:00,844
2021-07-03 16:32:00,976
2021-07-03 16:33:00,951
2021-07-03 16:34:00,1058
2021-07-03 16:35:00,963
2021-07-03 16:36:00,1048
2021-07-03 16:37:00,774
2021-07-03 16:38:00,1044
2021-07-03 16:39:00,1033
2021-07-03 16:40:00,1083
2021-07-03 16:41:00,805
2021-07-03 16:42:00,934
2021-07-03 16:43:00,1082
2021-07-03 16:44:00,1067
2021-07-03 16:45:00,1025
2021-07-03 16:46:00,1007
2021-07-03 16:47:00,1013
2021-07-03 16:48:00,1041
2021-07-03 16:49:00,985
2021-07-03 16:50:00,998
2021-07-03 16:51:00,917
2021-07-03 16:52:00,1057
2021-07-03 16:53:00,966
2021-07-03 16:54:00,852
2021-07-03 16:55:00,935
2021-07-03 16:56:00,852
2021-07-03 16:57:00,917
2021-07-03 16:58:00,1040
2021-07-03 16:59:00,1104
2021-07-03 17:00:00,1073
2021-07-03 17:01:00,1101
2021-07-03 17:02:00,990
2021-07-03 17:03:00,955
2021-07-03 17:04:00,1036
2021-07-03 17:05:00,1001
2021-07-03 17:06:00,917
2021-07-03 17:07:00,1094
2021-07-03 17:08:00,1077
2021-07-03 17:09:00,930
2021-07-03 17:10:00,1053
2021-07-03 17:11:00,1187
2021-07-03 17:12:00,1139
2021-07-03 17:13:00,1147
2021-07-03 17:14:00,1082
2021-07-03 17:15:00,795
2021-07-03 17:16:00,1141
2021-07-03 17:17:00,1000
2021-07-03 17:18:00,910
2021-07-03 17:19:00,1163
2021-07-03 17:20:00,1009
2021-07-03 17:21:00,1005
2021-07-03 17:22:00,1096
2021-07-03 17:23:00,1037
2021-07-03 17:24:00,1150
2021-07-03 17:25:00,1037
2021-07-03 17:26:00,972
2021-07-03 17:27:00,1041
