date,terminator|aws|production
2021-05-09 14:05:00,247224.0
2021-05-09 14:15:00,247223.0
2021-05-09 14:25:00,247843.0
2021-05-09 14:35:00,247733.0
2021-05-09 14:45:00,247777.0
2021-05-09 14:55:00,247757.0
2021-05-09 15:05:00,247736.0
2021-05-09 15:15:00,247784.0
2021-05-09 15:25:00,247755.0
2021-05-09 15:35:00,247728.0
2021-05-09 15:45:00,247739.0
2021-05-09 15:55:00,247741.0
2021-05-09 16:05:00,247572.0
2021-05-09 16:15:00,247728.0
2021-05-09 16:25:00,247745.0
2021-05-09 16:35:00,249548.0
2021-05-09 16:45:00,248233.0
2021-05-09 16:55:00,248082.0
2021-05-09 17:05:00,247817.0
2021-05-09 17:15:00,247813.0
2021-05-09 17:25:00,247277.0
2021-05-09 17:35:00,247718.0
2021-05-09 17:45:00,247276.0
2021-05-09 17:55:00,247258.0
2021-05-09 18:05:00,247808.0
2021-05-09 18:15:00,247801.0
2021-05-09 18:25:00,247763.0
2021-05-09 18:35:00,247893.0
2021-05-09 18:45:00,247780.0
2021-05-09 18:55:00,247795.0
2021-05-09 19:05:00,247822.0
2021-05-09 19:15:00,247806.0
2021-05-09 19:25:00,247422.0
2021-05-09 19:35:00,247788.0
2021-05-09 19:45:00,247808.0
2021-05-09 19:55:00,247813.0
2021-05-09 20:05:00,247812.0
2021-05-09 20:15:00,247751.0
2021-05-09 20:25:00,247769.0
2021-05-09 20:35:00,247793.0
2021-05-09 20:45:00,247783.0
2021-05-09 20:55:00,247780.0
2021-05-09 21:05:00,247785.0
2021-05-09 21:15:00,247780.0
2021-05-09 21:25:00,247772.0
2021-05-09 21:35:00,247764.0
2021-05-09 21:45:00,247747.0
2021-05-09 21:55:00,247615.0
2021-05-09 22:05:00,247773.0
2021-05-09 22:15:00,247764.0
2021-05-09 22:25:00,247907.0
2021-05-09 22:35:00,247763.0
2021-05-09 22:45:00,247752.0
2021-05-09 22:55:00,247747.0
2021-05-09 23:05:00,247525.0
2021-05-09 23:15:00,247732.0
2021-05-09 23:25:00,247716.0
2021-05-09 23:35:00,247707.0
2021-05-09 23:45:00,247679.0
2021-05-09 23:55:00,247689.0
2021-05-10 00:05:00,247688.0
2021-05-10 00:15:00,247687.0
2021-05-10 00:25:00,247602.0
2021-05-10 00:35:00,247631.0
2021-05-10 00:45:00,247700.0
2021-05-10 00:55:00,247701.0
2021-05-10 01:05:00,247720.0
2021-05-10 01:15:00,247680.0
2021-05-10 01:25:00,247688.0
2021-05-10 01:35:00,247677.0
2021-05-10 01:45:00,247684.0
2021-05-10 01:55:00,247692.0
2021-05-10 02:05:00,247688.0
2021-05-10 02:15:00,247697.0
2021-05-10 02:25:00,247706.0
2021-05-10 02:35:00,247708.0
2021-05-10 02:45:00,247718.0
